key	qid	label	note
BNE Cat. en línea	Q396047	Biblioteca Nacional de España, Catálogo [OPAC]	BNE Cat. gold seed key → alias BNE Cat. in FG
BNE Cat.	Q396047	Biblioteca Nacional de España, Catálogo [OPAC]	catalog_annotation prefix key
Morel-Fatio	Q1068128	Morel-Fatio (1892), Catalogue des manuscrits espagnols et des manuscrits portugais	API search missed; label starts with full title
BNE MSS/12689	Q1041374	Jacobus de Voragine, Flor de los santos (MSS/12689)	BNM 12689 normalised to this key via bnm_norm rule
BNE MSS/12688	Q1040264	MS: Madrid: Nacional (BNE), MSS/12688	BNM norm fires; Charles confirmed
BNE MSS/780	Q1039058	MS: Madrid: Nacional (BNE), MSS/780	BNM norm fires; Charles confirmed
Cappelli	Q1277439	Cappelli (1987), Dizionario di Abbreviature latine ed italiane	Single surname; API search missed full-title label
Moll	Q1069585	Moll Dexeus (1991), Inspección personal	Single surname; API search missed full-title label
Penney	Q1068131	Penney (1965), Printed Books 1468-1700 in the Hispanic Society of America	Single surname; API search missed full-title label
IBIS	Q10712	IBIS. Base de datos del Patrimonio Bibliográfico [OPAC]	Royal Palace Library Madrid; Charles confirmed
RB IBIS	Q10712	IBIS. Base de datos del Patrimonio Bibliográfico [OPAC]	Same item as IBIS; Charles confirmed
Palacio IBIS	Q10712	IBIS. Base de datos del Patrimonio Bibliográfico [OPAC]	Same item as IBIS
esc. h.I.14	Q1039196	MS: San Lorenzo de El Escorial, Monasterio h.I.14	Charles confirmed
Fundación Medinaceli	Q1071866	Fundación Casa Ducal de Medinaceli	Charles confirmed
Ms. Zabálburu	Q780080	Zabálburu Library, Madrid	Charles confirmed
Dutton 1990-91	Q1070186	El Cancionero del Siglo XV	Charles confirmed
Dutton 1990	Q1070186	El Cancionero del Siglo XV	Same work as Dutton 1990-91; Charles confirmed
Valverde 2002	Q1075187	Valverde Ogallar (2002), Manuscritos y heráldica	Charles confirmed
Haebler	Q1068093	Bibliografía ibérica del siglo XV (1903-17)	NOT Q369903 (GW); Charles confirmed
Norton	Q1068254	Norton (1978), A Descriptive Catalogue of Printing in Spain and Portugal 1501-1520	Overrides api_label→Q241455; Charles confirmed
Arteaga	Q1069178	Arteaga y Falguera (1940-44), La Casa del Infantado, cabeza de los Mendoza	unambiguous bibid SPARQL match
Virseda	Q1075631	Virseda Bravo (2020-11-11), “La biblioteca de los Velasco en el Hospital de la Vera Cruz: arte y cultura escrita”,	unambiguous bibid SPARQL match
Brumario	Q1072148	Brumario. Catálogo General de la U. de Salamanca (OPAC)	unambiguous bibid SPARQL match
Schutzner	Q1070458	Schutzner (1996), Inspección personal	unambiguous bibid SPARQL match
Krapf	Q1073138	Krapf (1899-1900), “Ediciones de la “Celestina’'. Ensayo de un catálogo cronológico de las mismas, basado principalmente en el de la biblioteca de Salvá, Valencia, 1872, tomo I”, La Celestina, tragicomedia de Calisto y Melibea, por Fernando de Rójas.	unambiguous bibid SPARQL match
Mazzei	Q1068894	Mazzei (1922), “Un manoscritto della Crónica de los Reyes Católicos di Hernando del Pulgar”, Revue Hispanique	unambiguous bibid SPARQL match
Blüher	Q1068843	Blüher et al. (1983), Séneca en España. Investigaciones sobre la recepción de Séneca en España desde el siglo XII hasta el siglo XVIII	unambiguous bibid SPARQL match
Menhardt	Q1116945	Menhardt (1930), “Pharmacologie Catalane. Un manuscrit catalan dans la bibliothèque de l’évêque à Klagenfurt-Autriche”, Anuari de l’Oficina Romànica de Lingüística i Literatura	unambiguous bibid SPARQL match
Martz	Q1074561	Martz (2001), A Network of Converso Families in Early Modern Toledo: Assimilating a Minority	unambiguous bibid SPARQL match
Gertz	Q1072676	Gertz (2011-10-24), Magnificent Bindings, Bound to Be Great	unambiguous bibid SPARQL match
Pellicer	Q1073710	Pellicer de Ossau y Tovar (1671), Bibliotheca formada de los libros, i obras publicas ; de don Ioseph Pellicer de Ossav, y Tovar, cavallero del orden de Sant-iago, señor de las casas de Pellicer, y de Ossav, del Consejo de sv magestad; i sv cronista	unambiguous bibid SPARQL match
Bultot	Q1070274	Bultot (1964), “Les ‘Meditationes’ Pseudo-Bernardines sur la connaissance de la condition humaine”, Sacris Erudiri	unambiguous bibid SPARQL match
Grenville	Q1072628	Grenville et al. (1842-72), Bibliotheca Grenvilliana; or, Bibliographical Notices of Rare and Curious Books, Forming Part of the Library of the Right Hon. Thomas Grenville	unambiguous bibid SPARQL match
Ewald	Q1070389	Ewald (1881), Reise nach Spanien im Winter von 1878 auf 1879. Codices manuscripti Hispanici ad historiam medii aevi et praesertim ad res historicas Germaniae spectantes	unambiguous bibid SPARQL match
Engelbrecht	Q1072636	Engelbrecht (2003), “Filologie in de dertiende eeuw: de Bursarii super Ovidios van Magister Willem van Orléans (fl. 1200 AD) : inleiding, editie en commentaar = Philology in the thirteenth century: the Bursarii super Ovidios of Master William of Orlé	unambiguous bibid SPARQL match
Bergin	Q1071947	Bergin et al. (2004), Encyclopedia of the Renaissance and the Reformation	unambiguous bibid SPARQL match
Baurmeister	Q1074529	Baurmeister et al. (1992), Des livres et des rois: la Bibliothèque royale de Blois.	unambiguous bibid SPARQL match
Allende	Q1073252	Allende Salazar (1887), Biblioteca del bascófilo. Ensayo de un catálogo general sistemático y crítico de las obras referentes á las provincias de Vizcaya, Guipúzcoa, Álava y Navarra	unambiguous bibid SPARQL match
Wiegers	Q1071958	Wiegers (1994), Yça Gidelli. Islamic Literature in Spanish and Aljamiado. Yça of Segovia (fl. 1450), his Antecedents and Successors	unambiguous bibid SPARQL match
Tittmann	Q1070667	Tittmann (1969), “A contribution to the study of the ’Cancionero de Baena’ manuscript”, Aquila. Chestnut Hill Studies in Modern Languages and Literatures	unambiguous bibid SPARQL match
Rosell	Q1069252	Rosell (1875-78), Crónicas de los reyes de Castilla, desde don Alfonso el Sabio, hasta los católicos don Fernando y doña Isabel	unambiguous bibid SPARQL match
Prévost	Q1073992	Prévost (1915), Notes du premier président Pellot sur la Normandie: clergé;--gentilshommes et terres principales;--officiers de justice (1670-1683)	unambiguous bibid SPARQL match
Dibdin	Q1072116	Dibdin (1814-23), Bibliotheca Spenceriana; or, A Descriptive Catalogue of the Books Printed in the Fifteenth Century and of many Valuable Additions in the Library of George John Earl Spencer , K.G., &c. &c. &c.	unambiguous bibid SPARQL match
Aumer	Q1121538	Aumer (1866), Die Arabischen Handschriften der K. Hof- und Staatsbibliotehk in München	unambiguous bibid SPARQL match
Metzger	Q1282609	Metzger (1977), Les manuscrits hébreux copiés et décorés à Lisbonne dans les derniéres décennies du XVe siècle	unambiguous bibid SPARQL match
Matulka	Q1068830	Matulka (1931), The Novels of Juan de Flores and Their European Diffusion: A Study in Comparative Literature	unambiguous bibid SPARQL match
Malet	Q1072474	Malet (2012-07-17), Carta (correo electrónico	unambiguous bibid SPARQL match
Jenson	Q1068082	Jenson (1985-07-10 ad quem), Inspección personal	unambiguous bibid SPARQL match
Delbrugge	Q1071650	Delbrugge (Fall, 2002), “Ties that Bind (and Print): Pablo Hurus and Andrés de Li”, La Corónica	unambiguous bibid SPARQL match
Deckert	Q1068724	Deckert (1957), Katalog der Inkunabeln der sächsischen Landesbibliothek zu Dresden: ein Bestandsverzeichnis nach den Kriegsverlusten des Jahres 1945	unambiguous bibid SPARQL match
Cummings	Q1073026	Cummings (1973), “Pedro Guillén de Segovia y el ms 4114”, Hispanic Review	unambiguous bibid SPARQL match
Bisson	Q1117233	Bisson (1988), Història de la Corona d’Aragó a l’Edat Mitjana	unambiguous bibid SPARQL match
Abella	Q1120193	Abella et al. (2000), “Pus axi·t plau ta bandera estendre [text electrònic a internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)	unambiguous bibid SPARQL match
Faulhaber	Q164508	Faulhaber	gold seed direct QID
Dutton	Q1078975	Dutton, El Cancionero del Siglo XV (complete)	gold seed direct QID
Dutton 1983	Q1068184	Dutton (1983)	gold seed direct QID
Dutton 1982:	Q1068061	Dutton (1982)	gold seed direct QID; trailing colon in source data
D~e	Q550714	Diccionario Biográfico Español (DB~e)	DB~e typo; gold seed correction
B~e	Q550714	Diccionario Biográfico Español (DB~e)	DB~e typo
DB ~E	Q550714	Diccionario Biográfico Español (DB~e)	DB~e typo
DB~ e	Q550714	Diccionario Biográfico Español (DB~e)	DB~e typo
DB~w	Q550714	Diccionario Biográfico Español (DB~e)	DB~e typo
Wilipedia	Q629842	Wikipedia	Wikipedia typo
Wiipedia	Q629842	Wikipedia	Wikipedia typo
Wikipeda	Q629842	Wikipedia	Wikipedia typo
Wikipedoa	Q629842	Wikipedia	Wikipedia typo
Wikipwsi	Q629842	Wikipedia	Wikipedia typo
ikidata	Q370382	Wikidata	Wikidata typo
Wikidato	Q370382	Wikidata	Wikidata typo
Wikiidata	Q370382	Wikidata	Wikidata typo
Wikiata	Q370382	Wikidata	Wikidata typo
Wikidaa	Q370382	Wikidata	Wikidata typo
Cronoligía	Q1069592	Viña Liste et al. (1991), Cronología de la literatura española	Cronología typo
Boronat I, 449	Q1069821	Boronat y Barrachina (1901), Los moriscos españoles	loc I:449 not preserved
Boronat I, 461	Q1069821	Boronat y Barrachina (1901), Los moriscos españoles	loc I:461 not preserved
Les Enluminures ref. no. 502	Q991518	Les Enluminures	loc ref.no.502 not preserved
Dutton 1982	Q1068061	Dutton (1982)	"clean form of ""Dutton 1982:"" (trailing colon in source data)"
Fauhaber	Q164508	Faulhaber	typo for Faulhaber
Wikidata	Q370382	Wikidata	formerly excluded; legitimate weak citation
Wikipedia	Q629842	Wikipedia	formerly excluded; legitimate weak citation
OskiCat	Q1071201	University of California, Berkeley (2010-2021-07-27), OskiCat [OPAC]	formerly excluded; legitimate citation
OskICat	Q1071201	University of California, Berkeley (2010-2021-07-27), OskiCat [OPAC]	capitalisation variant
Oskicat	Q1071201	University of California, Berkeley (2010-2021-07-27), OskiCat [OPAC]	capitalisation variant
BNE MSS/7673	Q1041219	MS: Madrid: Nacional (BNE), MSS/7673	Charles confirmed
BNE MSS/7811	Q1040966	MS: Madrid: Nacional (BNE), MSS/7811	Charles confirmed
Cronología	Q1069592	Viña Liste et al. (1991), Cronología de la literatura española	Charles confirmed; overrides api_alias→Q246095
Dutton 1991	Q1070186	El Cancionero del Siglo XV	same work as Dutton 1990-91; Charles confirmed
Perea	Q257011	Perea	Charles confirmed
VIAF	Q101123	Virtual International Authority File	Charles confirmed
Zarco	Q1345183	Zarco	Charles confirmed (freq=6488)
BNE MSS/1619	Q1039787	MS: Madrid: Nacional (BNE), MSS/1619. Pedro de Rozas?, 1605 a quo - 1646 ad quem. Colectivo, Repertorio de algunos actos	SPARQL label-contains match
BNE MSS/7674	Q1041223	MS: Madrid: Nacional (BNE), MSS/7674. 1504-02-28 a quo. Fernando V, rei d’Aragó ~ Isabel I, reina de Castilla y León, Co	SPARQL label-contains match
BNE MSS/19704/10	Q1042747	MS: Madrid: Nacional (BNE), MSS/19704/10. 1526 ca. - 1550 ca. Caballeros y escuderos de Cuenca… [Carta de concordia otor	SPARQL label-contains match
BNE MSS/10806	Q1039793	MS: Madrid: Nacional (BNE), MSS/10806. 1451 ca. - 1458-03-25 ad quem. Lucius Annaeus Seneca, Epístolas de Séneca a Lucil	SPARQL label-contains match
BNE MSS/716	Q1039173	MS: Madrid: Nacional (BNE), MSS/716. 1394-02-26 a quo. Desconocido, Privilegios y ordenanzas de Sevilla, escrito 1251 - 	SPARQL label-contains match
BNE MSS/7809	Q1041168	MS: Madrid: Nacional (BNE), MSS/7809. Cataluña:, 1464-10-14 a quo - 1500 ca. Colectivo, Cartas de batalla (tr. Desconoci	SPARQL label-contains match
BNE MSS/3346	Q1043043	MS: Madrid: Nacional (BNE), MSS/3346. 1527-03-28 a quo. Desconocido, Suma de los reyes de Francia, escrito 1527-03-28 ad	SPARQL label-contains match
BNE MSS/10649	Q1042488	MS: Madrid: Nacional (BNE), MSS/10649. 1701 - 1800. Colectivo, [Cortes y ordenamientos de los reinos de Castilla y León]	SPARQL label-contains match
BNE MSS/1187	Q1039104	MS: Madrid: Nacional (BNE), MSS/1187. 1301 - 1400. Desconocido, Gran conquista de Ultramar (tr. Desconocido), traducido 	SPARQL label-contains match
BNE MSS/684	Q1039267	MS: Madrid: Nacional (BNE), MSS/684. 1401 ca. - 1450 ca. Rodrigo Jiménez de Rada, arzobispo de Toledo, [Versión completa	SPARQL label-contains match
BNE MSS/7431	Q1041066	MS: Madrid: Nacional (BNE), MSS/7431. Francisco de la Torre, para Mora?, 1501 ca. - 1510 ca. Diego Enríquez del Castillo	SPARQL label-contains match
BNE MSS/1652	Q1042528	MS: Madrid: Nacional (BNE), MSS/1652. 1570 a quo. Pedro de Gracia Dei… Historia o defensa del rey don Pedro, escrito 145	SPARQL label-contains match
BNE MSS/7495	Q1040770	MS: Madrid: Nacional (BNE), MSS/7495. 1454-07-21 a quo - 1474-12-12 ad quem. Constanza de Castilla, Devocionario y ofici	SPARQL label-contains match
BNE MSS/9247	Q1040383	MS: Madrid: Nacional (BNE), MSS/9247. 1380-06-05 ad quem. Desconocido, Corona de los monjes y diversos dichos de los pad	SPARQL label-contains match
BNE MSS/8561	Q1040781	MS: Madrid: Nacional (BNE), MSS/8561. Madrid: Alfonso Martínez de Madrid, rector de Canillas, para Martín Sánchez, visit	SPARQL label-contains match
BNE MSS/7747	Q1041071	MS: Madrid: Nacional (BNE), MSS/7747. Oviedo: Para la Real Academia de la Historia, 1854-04-24 a quo - 1854-05-12 ad que	SPARQL label-contains match
